nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
663.19,276.84,664.87,275.11,661.62,274.95,667.06,275.22,658.8,275.58,671.35,284.68,653.74,284.45,675.65,297.88,649.84,298.67,668.33,296.5,658.89,295.75,667.88,311.17,656.93,310.85,667.3,332.69,656.53,332.16,667.37,352.93,656.07,353.15
663.42,275.95,664.68,274.23,661.72,274.15,667.3,274.86,658.13,274.65,671.21,283.74,653.79,283.6,675.46,297.13,649.75,297.91,668.39,296.17,659.16,295.18,667.66,310.59,656.71,310.44,666.91,332.01,656.43,331.77,666.82,352.21,655.63,352.22
663.02,275.73,664.64,273.98,661.31,273.99,667.03,274.58,657.93,274.67,670.98,283.75,653.74,283.62,675.23,296.61,649.8,297.21,668.61,295.51,659.16,295.12,667.32,309.9,656.7,309.92,666.69,331.65,656.38,331.73,666.65,352.43,655.71,352.52
663.26,275.43,664.85,273.62,661.5,273.71,666.93,274.2,657.96,273.98,670.67,282.81,653.62,283.1,674.84,295.83,649.73,297.33,669.81,295.32,659.56,294.88,667.36,309.15,656.68,309.44,666.3,331.01,656.54,331.21,666.56,351.08,655.75,351.45
663.22,275.21,664.79,273.61,661.47,273.55,666.65,274.0,658.23,274.06,670.36,282.68,653.12,283.05,674.45,295.76,649.64,297.05,669.01,295.21,659.3,294.33,666.99,309.02,656.33,309.25,666.18,330.85,656.19,330.87,666.5,351.0,655.34,351.7
663.21,274.75,664.78,273.06,661.4,273.05,666.64,273.62,657.68,273.75,670.26,282.42,653.35,283.02,674.38,295.42,649.74,296.95,667.72,294.31,659.37,294.12,666.89,309.0,656.27,309.27,666.15,331.07,656.1,331.11,666.51,350.96,655.18,351.83
663.03,274.77,664.44,273.04,661.24,273.07,666.33,273.58,657.73,273.85,669.96,282.14,652.92,282.69,674.11,295.23,649.63,296.71,668.06,294.23,659.3,294.14,666.81,308.51,656.01,308.92,665.94,330.59,655.95,330.57,666.16,350.89,655.02,351.11
663.08,274.65,664.43,272.93,661.27,272.98,666.2,273.4,657.84,273.35,669.9,282.13,653.03,282.34,674.11,295.06,649.58,296.61,666.97,293.05,659.31,294.02,666.69,308.37,655.91,308.46,665.9,330.44,655.99,330.3,666.32,349.92,655.21,350.81
663.0,274.6,664.46,272.9,661.19,272.9,666.12,273.25,657.59,273.04,669.67,282.04,652.86,282.32,673.95,294.99,649.29,296.3,666.91,293.24,659.15,294.1,666.38,308.29,655.68,308.32,665.56,330.18,655.91,330.21,665.57,350.1,655.29,350.56
662.8,274.47,664.36,272.81,660.86,272.78,666.09,273.1,657.31,273.39,669.59,281.93,652.48,282.43,673.72,294.84,649.15,296.43,666.39,293.05,659.09,294.14,666.35,308.22,655.44,308.38,665.53,330.1,655.86,330.1,665.53,349.94,655.14,350.14
662.49,274.4,664.15,272.69,660.7,272.66,665.97,273.04,657.17,273.29,669.33,281.72,652.28,282.45,673.84,294.52,649.13,296.5,666.51,293.08,659.15,294.1,666.4,308.28,655.32,308.83,665.41,330.09,655.62,330.18,665.37,349.86,654.89,350.37
662.27,274.38,663.88,272.65,660.4,272.62,665.87,272.99,656.97,273.22,669.46,281.75,652.01,282.32,673.96,294.7,649.03,296.04,666.21,292.96,659.08,293.73,666.39,308.39,655.56,308.48,665.34,330.47,655.49,330.47,665.32,350.14,654.57,350.79
662.07,274.28,663.71,272.54,660.16,272.62,665.8,272.91,656.84,273.14,669.13,281.57,651.88,282.35,673.92,294.51,649.13,296.47,666.68,293.18,659.08,293.41,666.24,308.32,655.07,308.92,665.28,330.23,655.46,330.24,665.22,350.15,654.46,350.83
662.02,274.25,663.6,272.55,660.21,272.56,665.69,272.95,656.78,273.17,669.08,281.68,651.73,282.34,673.98,294.74,649.15,296.45,665.64,293.18,659.12,293.35,666.22,308.46,654.95,309.08,665.28,330.46,655.28,330.54,665.02,350.37,654.07,351.1
662.05,274.28,663.62,272.52,660.2,272.55,665.55,272.96,656.69,273.19,669.06,281.81,651.64,282.39,673.93,294.81,649.12,296.43,665.4,293.29,659.2,293.12,666.14,308.6,654.87,309.2,665.03,330.61,655.01,330.57,664.96,350.43,654.32,350.71
661.89,274.19,663.42,272.47,660.14,272.45,665.37,272.95,656.61,273.18,668.99,281.9,651.58,282.4,674.01,294.85,649.21,296.49,665.37,293.2,659.22,293.21,666.12,308.72,654.85,309.34,664.98,330.78,654.88,330.71,665.16,350.39,654.16,350.92
661.91,274.2,663.39,272.46,660.16,272.47,665.15,273.05,656.55,273.23,669.0,281.96,651.54,282.3,674.05,294.9,648.87,296.13,665.57,293.37,659.08,293.02,666.02,308.86,655.07,309.17,664.95,330.98,654.84,330.92,664.9,350.87,654.22,351.09
661.8,274.28,663.25,272.53,660.04,272.57,665.03,273.13,656.23,273.34,668.97,282.08,651.33,282.84,674.03,294.81,648.73,296.85,665.1,293.08,658.99,293.56,666.01,309.03,655.08,309.34,664.93,331.38,654.8,331.12,664.89,351.24,653.92,351.4
661.53,274.25,663.04,272.44,659.78,272.51,664.9,273.16,656.1,273.3,668.86,282.13,651.13,282.82,674.03,294.84,648.73,296.86,666.12,293.93,658.39,293.68,666.0,309.15,654.71,309.63,664.88,331.61,654.81,331.25,664.78,351.42,653.88,351.54
661.65,274.56,663.14,272.72,659.89,272.84,664.91,273.43,656.17,273.43,668.75,282.27,651.1,283.04,673.76,294.88,648.47,297.15,667.5,294.1,658.32,294.07,665.83,309.32,654.71,309.92,664.85,331.6,654.41,331.5,664.88,351.28,653.55,351.13
661.48,275.07,663.0,273.3,659.71,273.36,664.79,273.89,656.08,273.87,668.23,282.96,651.23,283.11,673.47,295.15,648.6,297.07,667.88,294.12,658.28,294.56,665.43,309.53,654.67,309.79,664.72,331.78,653.93,331.74,664.56,351.43,653.24,351.19
661.47,275.32,662.93,273.55,659.71,273.64,664.84,273.88,656.16,274.11,668.18,283.1,651.26,283.21,673.42,295.51,648.46,297.38,667.66,294.44,658.4,294.41,665.44,309.54,654.77,309.79,664.67,331.92,653.94,331.84,664.4,351.71,653.2,351.3
661.75,275.64,663.15,273.94,659.9,273.94,664.97,274.11,656.25,274.39,668.18,283.24,651.49,284.01,673.42,295.66,648.4,298.1,667.73,294.33,658.42,294.49,665.42,309.8,654.83,309.98,664.48,332.2,653.88,332.06,664.29,351.98,653.08,351.27
661.89,275.87,663.27,274.16,660.0,274.16,665.2,274.8,656.25,274.71,668.39,283.37,651.41,284.22,673.37,295.91,648.36,298.3,667.35,294.66,658.42,294.69,665.3,310.12,654.7,310.21,664.35,332.35,654.07,332.0,664.03,352.1,652.96,351.32
662.24,276.12,663.68,274.36,660.32,274.34,665.15,275.07,656.43,275.06,668.14,284.28,651.29,284.41,673.1,296.45,648.47,298.68,666.21,294.6,658.73,294.86,665.13,310.48,654.75,310.62,663.98,332.72,653.37,332.3,663.74,352.4,652.64,352.33
662.27,276.35,663.65,274.61,660.35,274.58,665.05,275.34,656.4,275.16,667.9,284.4,651.25,284.77,673.0,296.75,648.49,298.75,665.68,294.41,658.95,294.99,665.03,310.53,654.38,310.52,664.0,332.87,653.38,332.65,663.89,352.33,652.58,352.17
662.04,276.35,663.41,274.6,660.31,274.56,665.16,275.78,656.38,275.21,668.1,284.72,651.19,285.05,672.97,297.09,648.5,298.76,665.3,294.59,658.84,294.99,665.01,310.73,654.31,310.67,663.94,333.03,653.25,332.59,663.69,353.0,652.8,352.41
662.09,277.04,663.44,275.31,660.31,275.12,665.11,276.02,656.41,275.55,668.11,284.99,651.35,284.86,672.9,297.55,648.79,298.73,664.84,295.02,658.9,295.12,665.01,310.93,654.3,310.85,663.87,333.22,653.2,332.77,663.66,352.97,652.85,352.47
662.3,277.14,663.66,275.41,660.39,275.41,665.2,276.14,656.45,275.72,668.06,285.19,651.33,285.03,672.99,297.67,648.72,298.85,664.85,295.23,658.69,295.37,664.98,311.01,654.26,310.92,663.79,333.23,653.11,332.74,663.57,353.07,652.38,352.25
662.22,277.15,663.55,275.46,660.4,275.44,665.05,276.13,656.61,275.71,667.82,284.95,651.09,284.72,672.22,297.52,647.8,298.72,664.43,295.43,658.23,296.31,664.37,311.29,653.65,311.13,662.68,333.89,652.06,333.32,661.31,352.78,650.7,353.49
662.08,277.08,663.46,275.37,660.32,275.26,665.03,276.09,656.46,275.65,667.86,284.86,651.07,284.65,671.98,297.52,647.89,298.7,664.37,295.28,658.14,296.14,664.37,311.22,653.59,311.08,662.77,333.72,652.06,333.16,661.16,353.04,650.71,353.29
662.28,277.0,663.65,275.31,660.38,275.29,665.18,276.01,656.41,275.55,667.89,284.73,651.03,284.59,672.05,297.48,647.88,298.7,664.39,295.06,658.21,295.91,664.36,311.27,653.57,311.13,662.78,333.92,652.03,333.3,661.18,352.89,650.51,353.27
1072.47,38.25,1077.18,34.07,1068.92,34.38,1086.52,37.14,1064.42,37.05,1093.66,62.55,1050.38,64.81,1094.62,97.78,1029.09,102.71,1105.87,88.64,1039.22,93.57,1079.95,136.17,1049.25,133.79,1071.11,184.34,1046.67,182.59,1064.05,222.88,1044.05,226.29
629.35,271.37,630.92,269.65,627.87,269.68,634.35,270.6,626.13,270.56,640.19,279.97,622.99,280.64,645.03,293.17,618.91,292.91,637.48,292.14,619.19,293.58,636.78,307.16,625.35,306.85,638.12,328.31,626.78,328.66,639.76,346.7,627.62,348.34
629.06,271.81,630.63,270.01,627.54,269.85,634.01,270.77,625.67,270.82,640.11,280.08,622.39,280.46,644.84,293.16,618.23,293.01,637.04,290.76,619.56,293.08,636.51,307.13,625.06,306.93,637.97,328.1,626.3,328.81,640.39,346.59,627.54,348.2
1073.22,37.75,1078.02,33.25,1069.25,33.62,1085.03,37.46,1063.24,37.72,1092.56,62.71,1047.87,65.64,1098.3,96.21,1026.69,103.33,1092.28,91.1,1043.55,91.18,1078.59,136.44,1047.61,134.8,1071.81,185.77,1046.46,184.59,1066.2,227.78,1042.96,229.07
629.17,271.97,630.81,270.12,627.33,270.24,633.97,270.63,624.97,271.32,639.42,280.01,621.74,280.8,644.56,292.93,617.93,293.81,636.44,291.91,621.17,291.99,636.35,306.66,624.79,307.04,637.47,328.36,626.03,328.82,640.31,346.74,627.57,348.29
628.73,272.25,630.4,270.28,627.04,270.31,633.63,270.64,624.7,271.4,639.11,280.0,621.43,280.84,644.31,292.91,617.14,293.99,635.48,289.84,621.1,291.82,636.17,306.58,624.55,307.02,637.17,328.2,626.19,328.58,640.12,346.38,627.58,348.27
1073.56,37.88,1077.53,32.86,1069.29,33.67,1084.4,37.31,1062.57,37.71,1091.55,62.43,1047.19,65.56,1098.27,95.58,1026.06,102.37,1092.86,90.24,1046.29,91.17,1078.22,137.33,1047.39,134.9,1071.38,185.93,1045.41,184.16,1065.81,227.25,1043.12,228.7
628.55,272.05,630.16,270.23,626.83,270.33,633.44,270.81,624.64,271.35,638.73,280.09,621.09,281.0,644.2,292.85,616.82,294.21,635.98,290.34,621.06,291.8,636.11,306.65,624.44,307.12,637.2,328.29,626.18,328.64,640.0,346.52,627.51,348.2
628.62,271.87,629.97,269.99,626.71,270.21,633.17,270.59,624.43,271.18,638.59,279.8,621.08,280.73,644.01,292.94,617.18,294.24,636.05,289.77,620.89,291.67,635.86,307.15,624.36,307.18,637.43,328.21,626.14,329.12,639.1,347.7,627.48,348.59
628.47,271.86,630.05,270.01,626.69,270.19,633.31,270.55,624.57,271.17,638.54,279.88,621.13,280.96,643.74,292.97,616.56,294.59,635.77,289.21,620.12,291.58,635.74,307.21,624.33,307.29,637.25,328.83,626.18,329.41,638.9,348.1,627.61,348.86
628.26,271.15,629.84,269.34,626.58,269.5,633.08,270.25,624.59,270.83,638.72,279.87,621.02,280.76,643.88,293.3,616.78,294.19,635.67,288.96,620.31,290.98,635.68,307.12,624.18,307.22,637.13,329.13,626.13,329.48,638.99,348.65,627.6,349.07
628.28,271.02,629.85,269.23,626.58,269.38,633.06,270.18,624.43,270.72,638.68,279.77,620.84,280.65,643.86,293.14,616.85,294.52,635.75,288.75,620.75,290.68,635.74,307.15,624.09,307.22,637.16,329.19,626.08,329.59,639.2,348.72,627.69,349.22
